Person,Relative,Relationship
<Ioannes 62>,<Andronikos 61>,father
<Ioannes 62>,<Anonymi 6049>,father
<Ioannes 62>,<Konstantios 61>,uncle
<Ioannes 62>,<Andronikos 62>,uncle
<Ioannes 62>,<Nikephoros 101>,relative by marriage
<Ioannes 62>,<Eirene 20117>,husband
<Anonymi 6076>,<Ioannes 2>,kin
<Anonyma 144>,<Dokeianos 101>,wife
<Epiphanios 101>,<Basileios 151>,son
<Anonymus 181>,<Anonyma 2108>,husband
<Anonymus 181>,<Maria 64>,father
<Michael 260>,<Alexios 3>,husband of sister of wife
<Michael 260>,<Theodora 20101>,husband
<Basileios 156>,<Romanos 107>,son
<Anonymi 6049>,<Ioannes 62>,son
<Robert 108>,<Tancred 61>,brother
<Leon 6>,<Konstantinos 7>,father
<Andronikos 12101>,<Anonyma 12148>,father
<Andronikos 12101>,<Anonymus 12257>,father
<Andronikos 12101>,<Anonymus 12256>,father-in-law (joint)
<Andronikos 12101>,<Anonymus 12258>,father-in-law
<Tughrul Beg 51>,<Ibrahim Yinal 101>,half-brother
<Tughrul Beg 51>,<Anonymus 189>,nephew
<Tughrul Beg 51>,<Kutulmush 101>,uncle
<Tughrul Beg 51>,<Michael 116>,son
<Tughrul Beg 51>,<Anonymus 5044>,brother
<Tughrul Beg 51>,<Asan 101>,uncle
<Basileios 186>,<Helena 115>,son
<Basileios 186>,<Theodote 104>,husband
<Basileios 186>,<Demetrios 148>,cousin (second)
<Baldwin 102>,<Balian 101>,son
<Baldwin 102>,<Anonyma 258>,son
<Baldwin 102>,<Hugh 106>,brother
<Baldwin 102>,<Balian 102>,brother
<Anna 12101>,<Kale 12101>,step-sister
<Anna 12101>,<Mitze 12101>,sister
<Anna 12101>,<Eudokia 12101>,daughter
<Kyriake 101>,<Ioannes 194>,daughter
<Tzernes 102>,<Theodoros 146>,son
<Anna 149>,<Kyriakos 119>,daughter
<Anna 150>,<Basileios 197>,wife
<Choudesilas 101>,<Kosmas 103>,grandfather
<Anonymus 2572>,<Michael 61>,kin
<Anonymus 778>,<Anonymus 777>,father
<Anna 12102>,<Nikolaos 12103>,mother
<Michael 147>,<Euphrosyne 101>,husband
<Michael 147>,<Chotianos 101>,son
<Eudokia 102>,<Kale 102>,sister
<Vladislav 101>,<Aikaterine 101>,father
<Vladislav 101>,<Aaron 101>,father
<Belouses 17001>,<Ouresis 17001>,brother
<Belouses 17001>,<Dese 17001>,brother
<Anonyma 12126>,<Anonymus 12185>,wife
<Voislav 101>,<Michael 101>,father
<Voislav 101>,<Anonymus 276>,father
<Eirene 12101>,<Maria 12105>,mother
<Eirene 12101>,<Basileios 12103>,daughter
<Henry 101>,<Thierry 4001>,brother
<Anonymus 17002>,<Anonymus 17055>,son
